name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2291307900,14644226.557242699,68
DashMap,33554432,4,786052600,42687260.369089805,93
DashMap,33554432,8,423729100,79188405.98863755,101
DashMap,33554432,12,373066400,89942251.56701326,133
DashMap,33554432,16,290776300,115396034.68370703,138
DashMap,33554432,20,258416800,129846170.99197885,154
Flurry,33554432,1,6284061100,5339609.444599449,187
Flurry,33554432,4,2847420800,11784149.360712685,339
Flurry,33554432,8,2534255700,13240349.819475595,604
Flurry,33554432,12,2064229700,16255183.228881942,738
Flurry,33554432,16,2568682100,13062897.896162393,1224
Flurry,33554432,20,2062497800,16268832.868573241,1229
Contrie,33554432,1,16840451400,1992490.0587878542,501
Contrie,33554432,4,4308384000,7788171.156517154,513
Contrie,33554432,8,2178993000,15399054.517384864,519
Contrie,33554432,12,1588110900,21128519.42518624,567
Contrie,33554432,16,1418618600,23652891.622878764,676
Contrie,33554432,20,1086113200,30894046.77155199,647
Anchormap,33554432,1,4839922700,6932844.609274441,144
Anchormap,33554432,4,1499246800,22380859.508921415,178
Anchormap,33554432,8,860723100,38984003.1015782,205
Anchormap,33554432,12,679154500,49406183.71813777,242
Anchormap,33554432,16,541018100,62020904.661045544,257
Anchormap,33554432,20,566989600,59179977.90435663,337
Papaya,33554432,1,3722455500,9014058.596536614,110
Papaya,33554432,4,1689925100,19855573.48074184,201
Papaya,33554432,8,1106212200,30332726.3973404,263
Papaya,33554432,12,881199900,38078115.98707626,315
Papaya,33554432,16,756278100,44367848.282265484,360
Papaya,33554432,20,703087800,47724383.782509096,419
