name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2031295600,16518734.151740396,60
DashMap,33554432,4,765720300,43820742.37812423,91
DashMap,33554432,8,475674400,70540756.45021048,113
DashMap,33554432,12,421181900,79667317.13779724,150
DashMap,33554432,16,352092500,95300047.57272592,167
DashMap,33554432,20,321443800,104386620.6161077,191
Flurry,33554432,1,7598499300,4415928.813732996,226
Flurry,33554432,4,3746179000,8956975.093822265,446
Flurry,33554432,8,2028319600,16542970.841478826,483
Flurry,33554432,12,3030336600,11072839.895079643,1083
Flurry,33554432,16,2665980200,12586151.990176072,1271
Flurry,33554432,20,1738678800,19298810.107996944,1036
Contrie,33554432,1,16393031600,2046871.6719853086,488
Contrie,33554432,4,4523392200,7417979.807278263,539
Contrie,33554432,8,3406656800,9849666.100794187,812
Contrie,33554432,12,3433120600,9773741.126367655,1227
Contrie,33554432,16,3600894700,9318359.684330674,1717
Contrie,33554432,20,3967581400,8457150.242714617,2364
Anchormap,33554432,1,5473162700,6130720.72569668,163
Anchormap,33554432,4,1678529400,19990374.90794025,200
Anchormap,33554432,8,1024907200,32738995.29635464,244
Anchormap,33554432,12,778853000,43081854.98418829,278
Anchormap,33554432,16,650600100,51574587.83052754,310
Anchormap,33554432,20,609471400,55054973.86751864,363
Papaya,33554432,1,5509769500,6089988.337987642,164
Papaya,33554432,4,1642978800,20422924.50760777,195
Papaya,33554432,8,1353082700,24798507.881299492,322
Papaya,33554432,12,1262320200,26581553.555112246,451
Papaya,33554432,16,1223026600,27435570.084902484,583
Papaya,33554432,20,1213735900,27645579.24009663,723
