name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1637660000,20489254.17974427,48
DashMap,33554432,4,571646300,58697890.63622033,68
DashMap,33554432,8,305699400,109762832.37716527,72
DashMap,33554432,12,251990300,133157633.44858909,90
DashMap,33554432,16,181008100,185375306.40893972,86
DashMap,33554432,20,162946500,205922999.26663047,97
Flurry,33554432,1,3138979100,10689600.322601702,93
Flurry,33554432,4,784144600,42791128.06490028,93
Flurry,33554432,8,403788700,83098987.16828877,96
Flurry,33554432,12,355165000,94475615.55896555,127
Flurry,33554432,16,226672700,148030318.60475478,108
Flurry,33554432,20,244483300,137246314.9834774,145
Contrie,33554432,1,5635283000,5954347.2794534005,167
Contrie,33554432,4,1363602100,24607201.76362298,162
Contrie,33554432,8,685197500,48970453.04456014,163
Contrie,33554432,12,636987800,52676726.30464822,227
Contrie,33554432,16,526573400,63722231.31665975,251
Contrie,33554432,20,387053700,86691929.31110077,230
Anchormap,33554432,1,3529725200,9506244.848749131,105
Anchormap,33554432,4,865021400,38790291.19973217,103
Anchormap,33554432,8,445042700,75395983.35170984,106
Anchormap,33554432,12,290958200,115323891.88550107,104
Anchormap,33554432,16,218286400,153717464.7618908,104
Anchormap,33554432,20,187052500,179385103.11276245,111
Papaya,33554432,1,1422705100,23584952.35590285,42
Papaya,33554432,4,375900100,89264227.3838182,44
Papaya,33554432,8,202104000,166025570.99315202,48
Papaya,33554432,12,164048500,204539706.2454091,58
Papaya,33554432,16,131108800,255928145.17408442,62
Papaya,33554432,20,121024800,277252530.05995464,72
