name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2054421100,16332791.753355727,61
DashMap,33554432,4,658781400,50934091.338947944,78
DashMap,33554432,8,405325200,82783976.91532627,96
DashMap,33554432,12,332828200,100816072.67653401,119
DashMap,33554432,16,255135600,131516072.23766498,121
DashMap,33554432,20,232008900,144625624.27562046,138
Flurry,33554432,1,6877018600,4879212.046918123,204
Flurry,33554432,4,2260400700,14844461.869083654,269
Flurry,33554432,8,1225132300,27388415.11239235,292
Flurry,33554432,12,1682997900,19937298.792826775,601
Flurry,33554432,16,1010816000,33195390.654678993,481
Flurry,33554432,20,1255616300,26723475.95360143,748
Contrie,33554432,1,14802962100,2266737.6821832163,441
Contrie,33554432,4,3975536600,8440227.163296647,473
Contrie,33554432,8,2262845200,14828425.735883303,539
Contrie,33554432,12,2009773300,16695630.298203286,718
Contrie,33554432,16,1850114500,18136408.31418812,882
Contrie,33554432,20,1720162600,19506546.6485552,1025
Anchormap,33554432,1,4567663800,7346081.81976966,136
Anchormap,33554432,4,1386608100,24198929.748066522,165
Anchormap,33554432,8,777597600,43151408.90352542,185
Anchormap,33554432,12,579179600,57934416.19836058,207
Anchormap,33554432,16,498784700,67272376.23768331,237
Anchormap,33554432,20,426144100,78739637.60145922,254
Papaya,33554432,1,4099825600,8184355.939433131,122
Papaya,33554432,4,1502901400,22326436.05229192,179
Papaya,33554432,8,1174181800,28576862.628938723,279
Papaya,33554432,12,1016928800,32995851.823647827,363
Papaya,33554432,16,1016122200,33022044.002187923,484
Papaya,33554432,20,911915800,36795537.48273689,543
